年份,地点,情景,制冷剂,Unit_LCTR_pK
2033,杭州,ssp585,R32,0.5966048845975221
2033,杭州,ssp585,R290,0.5346119221548865
2033,合肥,ssp126,R410A,1.935080164469208
2033,合肥,ssp126,R32,1.394024118700427
2033,合肥,ssp126,R290,1.449521650191893
2033,合肥,ssp245,R410A,1.928558433224353
2033,合肥,ssp245,R32,1.388172491943554
2033,合肥,ssp245,R290,1.404726522401631
2033,合肥,ssp585,R410A,2.011701955873102
2033,合肥,ssp585,R32,1.465299694612447
2033,合肥,ssp585,R290,1.502335481168554
2033,福州,ssp126,R410A,0.9870733618879515
2033,福州,ssp126,R32,0.4953587711468225
2033,福州,ssp126,R290,0.4234316728175266
2033,福州,ssp245,R410A,0.9952922901084756
2033,福州,ssp245,R32,0.5027134937252927
2033,福州,ssp245,R290,0.4289003157660202
2033,福州,ssp585,R410A,1.03726424182761
2033,福州,ssp585,R32,0.5425246280694581
2033,福州,ssp585,R290,0.4689743003552391
2033,南昌,ssp126,R410A,1.496559692146901
2033,南昌,ssp126,R32,0.9793262035243777
2033,南昌,ssp126,R290,0.9609212477922846
2033,南昌,ssp245,R410A,1.480721534267968
2033,南昌,ssp245,R32,0.963495639157176
2033,南昌,ssp245,R290,0.9199164343409071
2033,南昌,ssp585,R410A,1.536810454576636
2033,南昌,ssp585,R32,1.017238161257335
2033,南昌,ssp585,R290,0.9854000826454969
2033,郑州,ssp126,R410A,1.380382281388386
2033,郑州,ssp126,R32,0.8694650886528997
2033,郑州,ssp126,R290,0.8997283240073525
2033,郑州,ssp245,R410A,1.464498446929976
2033,郑州,ssp245,R32,0.9494268147293129
2033,郑州,ssp245,R290,1.001233766915794
2033,郑州,ssp585,R410A,1.35337000601555
2033,郑州,ssp585,R32,0.8435943145896395
2033,郑州,ssp585,R290,0.876143767702369
2033,武汉,ssp126,R410A,1.083440832932159
2033,武汉,ssp126,R32,0.5892895457883964
2033,武汉,ssp126,R290,0.5685296066683095
2033,武汉,ssp245,R410A,1.06879286914502
2033,武汉,ssp245,R32,0.5752712331215619
2033,武汉,ssp245,R290,0.5409951814899029
2033,武汉,ssp585,R410A,1.219436393897042
2033,武汉,ssp585,R32,0.7182918135780396
2033,武汉,ssp585,R290,0.6980602917858252
2033,长沙,ssp126,R410A,1.357796644680083
2033,长沙,ssp126,R32,0.8484726756090657
2033,长沙,ssp126,R290,0.8198582306060982
2033,长沙,ssp245,R410A,1.337855317907393
2033,长沙,ssp245,R32,0.8292847226155956
2033,长沙,ssp245,R290,0.7855327421500761
2033,长沙,ssp585,R410A,1.406362538570675
2033,长沙,ssp585,R32,0.894048953018652
2033,长沙,ssp585,R290,0.8665204560283347
2033,重庆,ssp126,R410A,0.9820675268443873
2033,重庆,ssp126,R32,0.493930531076633
2033,重庆,ssp126,R290,0.4829363795562606
2033,重庆,ssp245,R410A,1.15907820509731
2033,重庆,ssp245,R32,0.6609914349106747
2033,重庆,ssp245,R290,0.6728469242633498
2033,重庆,ssp585,R410A,1.292452841231991
2033,重庆,ssp585,R32,0.7872288691595827
2033,重庆,ssp585,R290,0.8158458280366061
2033,成都,ssp126,R410A,0.6383927188438697
2033,成都,ssp126,R32,0.1690855837304723
2033,成都,ssp126,R290,0.1116222443447306
2033,成都,ssp245,R410A,0.639540433793128
2033,成都,ssp245,R32,0.1701094854894664
2033,成都,ssp245,R290,0.1122902793547897
2033,成都,ssp585,R410A,0.64159115342962
2033,成都,ssp585,R32,0.1720063926617179
2033,成都,ssp585,R290,0.1148432810156978
2033,广州,ssp126,R410A,1.295262774818209
2033,广州,ssp126,R32,0.7860833589700206
2033,广州,ssp126,R290,0.717484870470308
2033,广州,ssp245,R410A,1.304284211531126
2033,广州,ssp245,R32,0.7940434864414445
2033,广州,ssp245,R290,0.7197960790641614
2033,广州,ssp585,R410A,1.329747844792016
2033,广州,ssp585,R32,0.8176347886182569
2033,广州,ssp585,R290,0.7460882515597518
2033,南宁,ssp126,R410A,1.336299203950345
2033,南宁,ssp126,R32,0.8261747632165828
2033,南宁,ssp126,R290,0.7807261508074839
2033,南宁,ssp245,R410A,1.402825047358524
2033,南宁,ssp245,R32,0.8887773468213548
2033,南宁,ssp245,R290,0.8530689472861228
2033,南宁,ssp585,R410A,1.525634256699809
2033,南宁,ssp585,R32,1.005111762786608
2033,南宁,ssp585,R290,0.9779241808284204
